iter,nodo_izq,peso_izq,nodo_der,peso_der,nodo_nuevo,peso_nuevo
1,T19,0.001,T20,0.001,N01,0.002
2,N01,0.002,T17,0.005,N02,0.007
3,T18,0.005,N02,0.007,N03,0.012
4,T16,0.008,T14,0.01,N04,0.018
5,T15,0.01,N03,0.012,N05,0.022
6,T12,0.015,T13,0.015,N06,0.03
7,N04,0.018,T10,0.02,N07,0.038
8,T11,0.02,N05,0.022,N08,0.042
9,T09,0.03,N06,0.03,N09,0.06
10,N07,0.038,T08,0.04,N10,0.078
11,N08,0.042,T07,0.05,N11,0.092
12,N09,0.06,T06,0.07,N12,0.13
13,N10,0.078,T05,0.08,N13,0.158
14,N11,0.092,T04,0.1,N14,0.192
15,T03,0.12,N12,0.13,N15,0.25
16,T02,0.15,N13,0.158,N16,0.308
17,N14,0.192,T01,0.25,N17,0.442
18,N15,0.25,N16,0.308,N18,0.558
19,N17,0.442,N18,0.558,N19,1.0
