tramite,probabilidad,codigo,longitud_bits
T01_Constancia_Matricula,0.25,01,2
T02_Record_Academico,0.15,110,3
T03_Certificado_Estudios_Simple,0.12,100,3
T04_Retiro_Asignatura,0.1,001,3
T05_Orden_Merito,0.08,1111,4
T06_Rectificacion_Notas,0.07,1011,4
T07_Retiro_Curso,0.05,0001,4
T08_Duplicado_Carnet,0.04,11101,5
T09_Reserva_Matricula,0.03,10100,5
T10_Retiro_Ciclo,0.02,111001,6
T11_Reincorporacion,0.02,00000,5
T12_Constancia_No_Adeudo,0.015,101010,6
T13_Examen_Subsanacion,0.015,101011,6
T14_Examen_Regularizacion,0.01,1110001,7
T15_Constancia_Egresado,0.01,000010,6
T16_Expedito_Bachiller,0.008,1110000,7
T17_Titulo_Profesional,0.005,00001111,8
T18_Bienestar_Universitario,0.005,0000110,7
T19_Traslado_Interno,0.001,000011100,9
T20_Traslado_Externo,0.001,000011101,9
